,category,header,content
0,politics,"After sinking the Moskva, Ukraine hits Russian occupiers on Snake Island.","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">After sinking the Moskva, Ukraine hits Russian occupiers on Snake Island. The Operational Command South of the Ukrainian Ground Forces has disclosed news about a strike on Zmiinyi, Snake Island, that destroyed a Russian control post and an anti-aircraft missile system “9K35 Strela-10,” last Tuesday. Any losses of lives among… Hey, remember when I was wondering why Justice Clarence Thomas hadn’t been impeached? My reasoning was that he refused to recuse himself from a case that involved a lobbyist that his wife worked for and then compounded that error by not reporting her income.</p>"
1,politics,The Far Right Is Seizing Control of Our Democracies,"<p class=""lj b do dp gr lz gs gt ma gv gw iq fu"">We’re Underestimating How Badly Our Democracies Are Collapsing into Fascism —  When I look at America today — and much of the world, though I’ll use America as the example here — I see something incredibly chilling at work. Something that’s being broadly, widely underestimated. The far right is seizing control of society. Its institutions, norms, values. Its offices and laws… I believe we’re in for an economic thrashing…</p>"
2,politics,Twitter’s Hostile Takeover Teaches us How Democracies Die,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Our Institutions are Falling to the Far Right, One by One. That’s a Fascist Collapse. —  Twitter died yesterday. That’s a joke. (Not really.) The first three words of Camus’ The Stranger are “Mother died yesterday.” Twitter — unfortunately — shaped our world as much as that great book did. And now — well, it’s no more. As flawed as it was — and it was… She was… “But E,” I’d say, “You’re fifteen years behind the industry. Uncensored free…</p>"
3,politics,Why Elon Musk Buying Twitter Is Even Worse Than You Think,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">If You’re Thinking of Leaving Twitter, Come Join Us at Medium — Because It’s the Antidote —  Yes, your gut is correct. Elon Musk buying Twitter is really bad news. In so, so many ways, it’s hard to even begin to count. But let’s try, anyways, just to get the frustration out of our systems. Twitter is a terrible business. As Josh Brown said, it’s about the… Well, here’s a great example of why there…</p>"
4,politics,"The World Consumes More Than 170,000 Terawatt Hours of Energy Every Year","<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">It’s time to get responsible. —  Energy prices are going up. Maybe you’ve noticed. The world is fighting over resources now, from oil to natural gas. Just recently, Russia stopped gas supplies to Poland and Bulgaria in retaliation for supplying weapons to Ukraine. … … In short, value is what we want. Most people don’t want war, or atrocity…</p>"
5,politics,Elon Musk May Turn the Digital Town Square into a Colosseum,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">The world’s richest man could use Twitter to radically disrupt politics —  Ten years ago, Google did something unprecedented for a giant tech company. It blacked out the landing page for search and replaced it with a call to action, urging people to email their elected representatives in Congress to stop legislation that Google feared would break the internet. It was part… “That means nigger citizenship. Now, by God, I’ll put him through. That is the last speech he will ever make.”</p>"
6,politics,The Fight Against “Gender Ideology” Is Coming For You,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">As the right wing moves to immiserate or kill everyone but cis, straight white guys, the targets don’t even know they’re in the same fight. —  Writing about gender as a trans feminist feels like a fool’s errand in 2022. For one thing, our enemies understand the field of play better than we do. As the right mounts a plan to immiserate or kill everyone who isn’t a straight, white guy, starting with the most vulnerable…</p>"
7,politics,Xi Jinping Cannot Get Out of the Zero-COVID or He Will Admit That the Chinese Model Is Not Superior.,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Xi Jinping’s credibility is at stake in a crucial year for him. —  Some 2,000 kilometers away and a huge gap. … The economy. Inflation. The rising cost of everything we buy from new houses… When I was young, I would watch various films and TV shows that had villains and their henchmen and I would wonder about these henchmen. Why were they following this villain’s instructions? Why were they loyal to a bad person who ordered them to…</p>"
8,politics,The World Throws Away 1.6 Billion Tons of Food Every Year,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">It’s time for a better plan. —  Let’s face it, we’re in a global food crisis. Drought is hammering North and South America. War has interrupted Ukraine’s wheat harvest. Heat waves threaten India’s crop production. On top of that, politicians are pulling stunts that result in hundreds of millions of dollars in food going bad. Famine is… Andrew Ross Sorkin appeared on MSNBC to discuss student debt. Progressives are fighting very hard to empower the president to use his authority to…</p>"
9,politics,How Will the Revelation of Ginni Thomas’ Texts Affect Clarence Thomas?,"<p class=""lj b do dp gr lk gs gt ll gv gw iq fu"">Democrats are holding hearings on impeachment and imposing a code of ethics on SCOTUS —  Hey, remember when I was wondering why Justice Clarence Thomas hadn’t been impeached? My reasoning was that he refused to recuse himself from a case that involved a lobbyist that his wife worked for and then compounded that error by not reporting her income. Well, it just got worse. The…</p>"
